FullAddress,Steet,City,State,Zipcode,Retailer,Calc_Rebate,Check_Amount,AddressFull,Rebate_Status,RebateType,Site_Type
"5098 CORBIN AV, SAN JOSE, CA 95118",5098 CORBIN AV,SAN JOSE,CA,95118,SJ Water Co.,$247.98 ,$247.98 ,5098 CORBIN AV SJ 95118,Check Issued,IW,Single Family
"5849 LALOR DR, SAN JOSE, CA 95123",5849 LALOR DR,SAN JOSE,CA,95123,SJ Water Co.,$278.57 ,$278.57 ,5849 LALOR DR SJ 95123,Check Issued,IW,Single Family
"19244 DONNA CT, MORGAN HILL, CA 95037",19244 DONNA CT,MORGAN HILL,CA,95037,SCVWD,"$2,000.00 ",,19244 DONNA CT MH 95037,Appl. Received Complete,L,Single Family
"2090 DEL MONTE AV, SANTA CLARA, CA 95051",2090 DEL MONTE AV,SANTA CLARA,CA,95051,Santa Clara,$952.00 ,,2090 DEL MONTE AV SC 95051,Appl. Received Complete,L,Single Family
"17825 DEL MONTE AV, MORGAN HILL, CA 95037",17825 DEL MONTE AV,MORGAN HILL,CA,95037,Morgan Hill,"$2,438.00 ",,17825 DEL MONTE AV MH 95037,Appl. Received Complete,L,Single Family
"3723 BLOSSOMVIEW DR, SAN JOSE, CA 95118",3723 BLOSSOMVIEW DR,SAN JOSE,CA,95118,SJ Water Co.,"$1,710.00 ",,3723 BLOSSOMVIEW DR SJ 95118,Notice to Proceed Sent,IW,Single Family
"5342 VICENZA WY, SAN JOSE, CA 95138",5342 VICENZA WY,SAN JOSE,CA,95138,SJ Muni,$288.99 ,$288.99 ,5342 VICENZA WY SJ 95138,Check Issued,IW,Single Family
"1935 ELLEN AV, SAN JOSE, CA 95125",1935 ELLEN AV,SAN JOSE,CA,95125,SJ Water Co.,"$1,428.00 ",,1935 ELLEN AV SJ 95125,Appl. Received Complete,L,Single Family
"573 YUROK CL, SAN JOSE, CA 95123",573 YUROK CL,SAN JOSE,CA,95123,SJ Water Co.,$872.00 ,,573 YUROK CL SJ 95123,Notice to Proceed Sent,LIW,Single Family
"2245 BELLINGTON CT, SAN JOSE, CA 95138",2245 BELLINGTON CT,SAN JOSE,CA,95138,SJ Muni,"$2,000.00 ",,2245 BELLINGTON CT SJ 95138,Notice to Proceed Sent,IW,Single Family
"1553 QUIET POND LN, SAN JOSE, CA 95138",1553 QUIET POND LN,SAN JOSE,CA,95138,SJ Muni,"$1,179.94 ","$1,179.94 ",1553 QUIET POND LN SJ 95138,Check Issued,LIW,Single Family
"17380 CESENA CT, MORGAN HILL, CA 95037",17380 CESENA CT,MORGAN HILL,CA,95037,Morgan Hill,$256.49 ,$256.49 ,17380 CESENA CT MH 95037,Check Issued,IW,Single Family
"111 CALLE EL PADRE, LOS GATOS, CA 95030",111 CALLE EL PADRE,LOS GATOS,CA,95030,SJ Water Co.,$156.87 ,$156.87 ,111 CALLE EL PADRE LG 95030,Check Issued,IW,Single Family
"4510 BORINA DR, SAN JOSE, CA 95129",4510 BORINA DR,SAN JOSE,CA,95129,SJ Water Co.,$625.00 ,,4510 BORINA DR SJ 95129,Appl. Received Complete,LIW,Single Family
"1888 CATHERINE ST, SANTA CLARA, CA 95050",1888 CATHERINE ST,SANTA CLARA,CA,95050,Santa Clara,"$2,730.00 ",,1888 CATHERINE ST SC 95050,Appl. Received Complete,LIW,MFD
"3909 LATIMER AV, SAN JOSE, CA 95130",3909 LATIMER AV,SAN JOSE,CA,95130,SJ Water Co.,$273.85 ,$273.85 ,3909 LATIMER AV SJ 95130,Check Issued,IW,Single Family
"5676 HOLLAND LN, SAN JOSE, CA 95118",5676 HOLLAND LN,SAN JOSE,CA,95118,SJ Water Co.,$885.00 ,$885.00 ,5676 HOLLAND LN SJ 95118,Check Issued,L,Single Family
"1106 ROYCOTT WY, SAN JOSE, CA 95125",1106 ROYCOTT WY,SAN JOSE,CA,95125,SJ Water Co.,$350.00 ,,1106 ROYCOTT WY SJ 95125,Notice to Proceed Sent,IW,Single Family
"7215 YORKTOWN DR, GILROY, CA 95020",7215 YORKTOWN DR,GILROY,CA,95020,Gilroy,"$1,659.00 ",,7215 YORKTOWN DR GI 95020,Notice to Proceed Sent,L,Single Family
"1468 CORTE DE ROSA, SAN JOSE, CA 95120",1468 CORTE DE ROSA,SAN JOSE,CA,95120,SJ Water Co.,$113.50 ,$113.50 ,1468 CORTE DE ROSA SJ 95120,Check Issued,IW,Single Family
"3477 VARNER CT, SAN JOSE, CA 95132",3477 VARNER CT,SAN JOSE,CA,95132,SJ Water Co.,$148.99 ,$148.99 ,3477 VARNER CT SJ 95132,Check Issued,IW,Single Family
"12066 CAROL LN, SARATOGA, CA 95070",12066 CAROL LN,SARATOGA,CA,95070,SJ Water Co.,"$2,000.00 ",,12066 CAROL LN SA 95070,Notice to Proceed Sent,LDIW,Single Family
"1497 PORTOBELO DR, SAN JOSE, CA 95118",1497 PORTOBELO DR,SAN JOSE,CA,95118,SJ Water Co.,$365.00 ,,1497 PORTOBELO DR SJ 95118,Appl. Received Complete,LIW,Single Family
"10265 STERN AV, CUPERTINO, CA 95014",10265 STERN AV,CUPERTINO,CA,95014,SJ Water Co.,$276.99 ,$276.99 ,10265 STERN AV CU 95014,Check Issued,IW,Single Family
"1138 GARFIELD AV, SAN JOSE, CA 95125",1138 GARFIELD AV,SAN JOSE,CA,95125,SJ Water Co.,$186.77 ,$186.77 ,1138 GARFIELD AV SJ 95125,Check Issued,IW,Single Family
"2869 PONDEROSA WY, SANTA CLARA, CA 95051",2869 PONDEROSA WY,SANTA CLARA,CA,95051,Santa Clara,$832.00 ,,2869 PONDEROSA WY SC 95051,Notice to Proceed Sent,L,Single Family
"3098 FRESNO ST, SANTA CLARA, CA 95051",3098 FRESNO ST,SANTA CLARA,CA,95051,Santa Clara,"$1,290.00 ","$1,290.00 ",3098 FRESNO ST SC 95051,Check Issued,L,Single Family
"3302 COMO LN, SAN JOSE, CA 95118",3302 COMO LN,SAN JOSE,CA,95118,SJ Water Co.,"$2,000.00 ",,3302 COMO LN SJ 95118,Post Insp. Approved,LIW,Single Family
"1002 HARLAN DR, SAN JOSE, CA 95129",1002 HARLAN DR,SAN JOSE,CA,95129,SJ Water Co.,"$2,000.00 ",,1002 HARLAN DR SJ 95129,Appl. Received Complete,LIW,Single Family
"1524 CALLE DE AIDA, SAN JOSE, CA 95118",1524 CALLE DE AIDA,SAN JOSE,CA,95118,SJ Water Co.,$276.99 ,$276.99 ,1524 CALLE DE AIDA SJ 95118,Check Issued,IW,Single Family
"2540 MOORPARK AV, SAN JOSE, CA 95128",2540 MOORPARK AV,SAN JOSE,CA,95128,SJ Water Co.,$279.99 ,$279.99 ,2540 MOORPARK AV SJ 95128,Check Issued,IW,Single Family
"1239 VAN DYCK DR, SUNNYVALE, CA 94087",1239 VAN DYCK DR,SUNNYVALE,CA,94087,Sunnyvale,$239.48 ,$239.48 ,1239 VAN DYCK DR SU 94087,Check Issued,IW,Single Family
"1823 RONIE WY, SAN JOSE, CA 95124",1823 RONIE WY,SAN JOSE,CA,95124,SJ Water Co.,$0.00 ,,1823 RONIE WY SJ 95124,Site is Disqualified,W,Single Family
"20083 PIERCE CT, SARATOGA, CA 95070",20083 PIERCE CT,SARATOGA,CA,95070,SJ Water Co.,$206.15 ,$206.15 ,20083 PIERCE CT SA 95070,Check Issued,I,Single Family
"1047 CATHCART WY, STANFORD, CA 94305",1047 CATHCART WY,STANFORD,CA,94305,Stanford Utilities,$35.00 ,,1047 CATHCART WY ST 94305,Ready to be Paid,I,Single Family
"551 W CAPITOL EX, SAN JOSE, CA 95136",551 W CAPITOL EX,SAN JOSE,CA,95136,SJ Water Co.,"$4,150.00 ","$4,150.00 ",551 W CAPITOL EX SJ 95136,Check Issued,IW,Commercial
"165 EUCLID AV, LOS GATOS, CA 95032",165 EUCLID AV,LOS GATOS,CA,95032,SJ Water Co.,$492.84 ,$492.84 ,165 EUCLID AV LG 95032,Check Issued,IW,Single Family
"1192 VALLEY QUAIL CL, SAN JOSE, CA 95120",1192 VALLEY QUAIL CL,SAN JOSE,CA,95120,SJ Water Co.,$700.00 ,,1192 VALLEY QUAIL CL SJ 95120,Notice to Proceed Sent,IW,Single Family
"3861 HANCOCK DR, SANTA CLARA, CA 95051",3861 HANCOCK DR,SANTA CLARA,CA,95051,Santa Clara,$242.13 ,$242.13 ,3861 HANCOCK DR SC 95051,Check Issued,IW,Single Family
"964 LEO DR, SAN JOSE, CA 95129",964 LEO DR,SAN JOSE,CA,95129,SJ Water Co.,"$1,956.00 ",,964 LEO DR SJ 95129,Notice to Proceed Sent,LRIW,Single Family
"1553 QUIET POND LN, SAN JOSE, CA 95138",1553 QUIET POND LN,SAN JOSE,CA,95138,SJ Muni,$0.00 ,,1553 QUIET POND LN SJ 95138,Site is Disqualified,IW,Single Family
"1013 WESTLYNN WY, CUPERTINO, CA 95014",1013 WESTLYNN WY,CUPERTINO,CA,95014,SJ Water Co.,$303.85 ,,1013 WESTLYNN WY CU 95014,Post Insp. Approved,IW,Single Family
"2316 WALDEN SQ, SAN JOSE, CA 95124",2316 WALDEN SQ,SAN JOSE,CA,95124,SJ Water Co.,"$2,000.00 ",,2316 WALDEN SQ SJ 95124,Appl. Received Complete,LIW,Single Family
"1006 GLENRIDGE DR, SAN JOSE, CA 95136",1006 GLENRIDGE DR,SAN JOSE,CA,95136,SJ Water Co.,$276.99 ,$276.99 ,1006 GLENRIDGE DR SJ 95136,Check Issued,IW,Single Family
"8685 LARKSPUR LN, GILROY, CA 95020",8685 LARKSPUR LN,GILROY,CA,95020,Gilroy,$346.80 ,$346.80 ,8685 LARKSPUR LN GI 95020,Check Issued,DIW,Single Family
"263 MARIA ST, SANTA CLARA, CA 95050",263 MARIA ST,SANTA CLARA,CA,95050,Santa Clara,$276.99 ,$276.99 ,263 MARIA ST SC 95050,Check Issued,IW,Single Family
"1690 FAIRWAY DR, LOS ALTOS, CA 94024",1690 FAIRWAY DR,LOS ALTOS,CA,94024,California Water,"$1,476.50 ",,1690 FAIRWAY DR LA 94024,Notice to Proceed Sent,LDIW,Single Family
"3244 QUINTO WY, SAN JOSE, CA 95124",3244 QUINTO WY,SAN JOSE,CA,95124,SJ Water Co.,$88.24 ,,3244 QUINTO WY SJ 95124,Post Insp. Approved,IW,Single Family
"1490 ARBOR AV, LOS ALTOS, CA 94024",1490 ARBOR AV,LOS ALTOS,CA,94024,California Water,$0.00 ,,1490 ARBOR AV LA 94024,Site is Disqualified,L,Single Family
"170 CHYNOWETH AV, SAN JOSE, CA 95136",170 CHYNOWETH AV,SAN JOSE,CA,95136,Great Oaks,$350.00 ,,170 CHYNOWETH AV SJ 95136,Appl. Received Complete,LIW,Single Family
"4008 PETULLA CT, SAN JOSE, CA 95124",4008 PETULLA CT,SAN JOSE,CA,95124,SJ Water Co.,$687.00 ,$687.00 ,4008 PETULLA CT SJ 95124,Check Issued,L,Single Family
"927 KINTYRE WY, SUNNYVALE, CA 94087",927 KINTYRE WY,SUNNYVALE,CA,94087,Sunnyvale,"$1,158.00 ","$1,158.00 ",927 KINTYRE WY SU 94087,Check Issued,L,Single Family
"2215 BLOSSOM VALLEY DR, SAN JOSE, CA 95124",2215 BLOSSOM VALLEY DR,SAN JOSE,CA,95124,SJ Water Co.,$251.97 ,$251.97 ,2215 BLOSSOM VALLEY DR SJ 95124,Check Issued,IW,Single Family
"1415 CALLECITA ST, SAN JOSE, CA 95125",1415 CALLECITA ST,SAN JOSE,CA,95125,SJ Water Co.,$350.00 ,,1415 CALLECITA ST SJ 95125,Notice to Proceed Sent,IW,Single Family
"610 Willow Street, San Jose,, SAN JOSE, CA 95125","610 Willow Street, San Jose,",SAN JOSE,CA,95125,SJ Water Co.,$350.00 ,$350.00 ,"610 Willow Street, San Jose, CA 95125",Check Issued,IW,MFD
"864 HERMISTON DR, SAN JOSE, CA 95136",864 HERMISTON DR,SAN JOSE,CA,95136,SJ Water Co.,$329.00 ,$329.00 ,864 HERMISTON DR SJ 95136,Check Issued,IW,Single Family
"455 W SUNNYOAKS AV, CAMPBELL, CA 95008",455 W SUNNYOAKS AV,CAMPBELL,CA,95008,SJ Water Co.,$245.08 ,$245.08 ,455 W SUNNYOAKS AV CA 95008,Check Issued,IW,Single Family
"1186 JOHNSON AV, SAN JOSE, CA 95129",1186 JOHNSON AV,SAN JOSE,CA,95129,SJ Water Co.,$273.48 ,$273.48 ,1186 JOHNSON AV SJ 95129,Check Issued,IW,Single Family
"19312 DE HAVILLAND DR, SARATOGA, CA 95070",19312 DE HAVILLAND DR,SARATOGA,CA,95070,SJ Water Co.,$303.85 ,$303.85 ,19312 DE HAVILLAND DR SA 95070,Check Issued,IW,Single Family
"3261 GARDENDALE DR, SAN JOSE, CA 95118",3261 GARDENDALE DR,SAN JOSE,CA,95118,SJ Water Co.,$0.00 ,,3261 GARDENDALE DR SJ 95118,Notice to Proceed Sent,IW,Single Family
"1031 AZALEA DR, SUNNYVALE, CA 94086",1031 AZALEA DR,SUNNYVALE,CA,94086,Sunnyvale,$767.40 ,$767.40 ,1031 AZALEA DR SU 94086,Check Issued,LI,Single Family
"72 SHELLBARK DR, SAN JOSE, CA 95136",72 SHELLBARK DR,SAN JOSE,CA,95136,SJ Water Co.,$876.00 ,$876.00 ,72 SHELLBARK DR SJ 95136,Check Issued,L,Single Family
"967 HARNEY WY, SUNNYVALE, CA 94087",967 HARNEY WY,SUNNYVALE,CA,94087,Sunnyvale,$161.97 ,$161.97 ,967 HARNEY WY SU 94087,Check Issued,IW,Single Family
"3321 LANTERN WY, SAN JOSE, CA 95111",3321 LANTERN WY,SAN JOSE,CA,95111,SJ Water Co.,$993.00 ,,3321 LANTERN WY SJ 95111,Notice to Proceed Sent,L,Single Family
"5984 VIA MADERO DR, SAN JOSE, CA 95120",5984 VIA MADERO DR,SAN JOSE,CA,95120,SJ Water Co.,$268.39 ,$268.39 ,5984 VIA MADERO DR SJ 95120,Check Issued,IW,Single Family
"5830 ZILEMAN CT, SAN JOSE, CA 95123",5830 ZILEMAN CT,SAN JOSE,CA,95123,Great Oaks,$0.00 ,,5830 ZILEMAN CT SJ 95123,Site is Disqualified,LRIW,Single Family
"2249 MONTEZUMA DR, CAMPBELL, CA 95008",2249 MONTEZUMA DR,CAMPBELL,CA,95008,SJ Water Co.,$236.67 ,$236.67 ,2249 MONTEZUMA DR CA 95008,Check Issued,IW,Single Family
"18705 VISTA DE ALMADEN, SAN JOSE, CA 95120",18705 VISTA DE ALMADEN,SAN JOSE,CA,95120,SJ Water Co.,$0.00 ,,18705 VISTA DE ALMADEN SJ 95120,Post Insp. Approved,L,Single Family
"17695 DE WITT AV, MORGAN HILL, CA 95037",17695 DE WITT AV,MORGAN HILL,CA,95037,Morgan Hill,$315.41 ,$315.41 ,17695 DE WITT AV MH 95037,Check Issued,IW,Single Family
"3396 IVAN WY, MOUNTAIN VIEW, CA 94040",3396 IVAN WY,MOUNTAIN VIEW,CA,94040,Mountain View,$247.53 ,$247.53 ,3396 IVAN WY MV 94040,Check Issued,IW,Single Family
"22609 ALPINE DR, CUPERTINO, CA 95014",22609 ALPINE DR,CUPERTINO,CA,95014,SJ Water Co.,$278.98 ,$278.98 ,22609 ALPINE DR CU 95014,Check Issued,IW,Single Family
"3065 VAN SANSUL AV, SAN JOSE, CA 95128",3065 VAN SANSUL AV,SAN JOSE,CA,95128,SJ Water Co.,$425.00 ,,3065 VAN SANSUL AV SJ 95128,Appl. Received Complete,L,MFD
"1327 BELLINGHAM DR, SAN JOSE, CA 95121",1327 BELLINGHAM DR,SAN JOSE,CA,95121,SJ Water Co.,$276.99 ,$276.99 ,1327 BELLINGHAM DR SJ 95121,Check Issued,IW,Single Family
"20655 SUNRISE DR, CUPERTINO, CA 95014",20655 SUNRISE DR,CUPERTINO,CA,95014,SJ Water Co.,$829.75 ,$829.75 ,20655 SUNRISE DR CU 95014,Check Issued,DIW,Single Family
"1818 WALNUT DR, MOUNTAIN VIEW, CA 94040",1818 WALNUT DR,MOUNTAIN VIEW,CA,94040,Mountain View,"$1,696.00 ",,1818 WALNUT DR MV 94040,Notice to Proceed Sent,LRIW,Single Family
"936 WREN DR, SAN JOSE, CA 95125",936 WREN DR,SAN JOSE,CA,95125,SJ Water Co.,$248.63 ,$248.63 ,936 WREN DR SJ 95125,Check Issued,IW,Single Family
"6294 SKYWALKER DR, SAN JOSE, CA 95135",6294 SKYWALKER DR,SAN JOSE,CA,95135,SJ Muni,$500.00 ,,6294 SKYWALKER DR SJ 95135,Appl. Received Complete,LIW,Single Family
"3423 FLINTHILL CT, SAN JOSE, CA 95148",3423 FLINTHILL CT,SAN JOSE,CA,95148,SJ Water Co.,$276.99 ,$276.99 ,3423 FLINTHILL CT SJ 95148,Check Issued,IW,Single Family
"13391 BEAUMONT AV, SARATOGA, CA 95070",13391 BEAUMONT AV,SARATOGA,CA,95070,SJ Water Co.,"$2,000.00 ",,13391 BEAUMONT AV SA 95070,Appl. Received Complete,L,Single Family
"3261 ROSS RD, PALO ALTO, CA 94303",3261 ROSS RD,PALO ALTO,CA,94303,Palo Alto,"$1,925.00 ","$1,925.00 ",3261 ROSS RD PA 94303,Check Issued,I,Single Family
"2483 BEECHWOOD AV, SAN JOSE, CA 95128",2483 BEECHWOOD AV,SAN JOSE,CA,95128,SJ Water Co.,$403.26 ,$403.26 ,2483 BEECHWOOD AV SJ 95128,Check Issued,IW,Single Family
"1137 FAIRFORD WY, SAN JOSE, CA 95129",1137 FAIRFORD WY,SAN JOSE,CA,95129,SJ Water Co.,$300.00 ,$300.00 ,1137 FAIRFORD WY SJ 95129,Check Issued,R,Single Family
"1710 ROGERS AV, SAN JOSE, CA 95112",1710 ROGERS AV,SAN JOSE,CA,95112,SJ Water Co.,"$3,584.26 ","$3,584.26 ",1710 ROGERS AV SJ 95112,Check Issued,LIW,Industrial
"2509 BRANNAN PL, SANTA CLARA, CA 95050",2509 BRANNAN PL,SANTA CLARA,CA,95050,Santa Clara,$247.24 ,$247.24 ,2509 BRANNAN PL SC 95050,Check Issued,IW,Single Family
"325 W ST JOHN ST, SAN JOSE, CA 95110",325 W ST JOHN ST,SAN JOSE,CA,95110,SJ Water Co.,$892.85 ,$892.85 ,325 W ST JOHN ST SJ 95110,Check Issued,LIW,Single Family
"776 CORNELL DR, SANTA CLARA, CA 95051",776 CORNELL DR,SANTA CLARA,CA,95051,Santa Clara,"$1,640.00 ",,776 CORNELL DR SC 95051,Post Insp. Scheduled,L,Single Family
"3359 VILLA ROBLEDA DR, MOUNTAIN VIEW, CA 94040",3359 VILLA ROBLEDA DR,MOUNTAIN VIEW,CA,94040,Mountain View,$350.00 ,,3359 VILLA ROBLEDA DR MV 94040,Appl. Received Complete,LIW,Single Family
"531 PAMLAR AV, SAN JOSE, CA 95128",531 PAMLAR AV,SAN JOSE,CA,95128,SJ Water Co.,$0.00 ,,531 PAMLAR AV SJ 95128,Site is Disqualified,W,Single Family
"725 COE AV, SAN JOSE, CA 95125",725 COE AV,SAN JOSE,CA,95125,SJ Water Co.,"$2,000.00 ",,725 COE AV SJ 95125,Appl. Received Complete,LIW,Single Family
"1213 HERMOSA WY, SAN JOSE, CA 95125",1213 HERMOSA WY,SAN JOSE,CA,95125,SJ Water Co.,$295.00 ,$295.00 ,1213 HERMOSA WY SJ 95125,Check Issued,IW,Single Family
"6351 NEPO DR, SAN JOSE, CA 95119",6351 NEPO DR,SAN JOSE,CA,95119,Great Oaks,$274.83 ,$274.83 ,6351 NEPO DR SJ 95119,Check Issued,IW,Single Family
"1161 CRESCENT DR, SAN JOSE, CA 95125",1161 CRESCENT DR,SAN JOSE,CA,95125,SJ Water Co.,$279.99 ,$279.99 ,1161 CRESCENT DR SJ 95125,Check Issued,IW,Single Family
"3099 KATHLEEN ST, SAN JOSE, CA 95124",3099 KATHLEEN ST,SAN JOSE,CA,95124,SJ Water Co.,"$1,043.55 ","$1,043.55 ",3099 KATHLEEN ST SJ 95124,Check Issued,LIW,Single Family
"6967 SERENITY WY, SAN JOSE, CA 95120",6967 SERENITY WY,SAN JOSE,CA,95120,SJ Water Co.,$186.77 ,$186.77 ,6967 SERENITY WY SJ 95120,Check Issued,IW,Single Family
"1319 MAYBERRY LN, SAN JOSE, CA 95131",1319 MAYBERRY LN,SAN JOSE,CA,95131,SJ Water Co.,$270.00 ,$270.00 ,1319 MAYBERRY LN SJ 95131,Check Issued,IW,Single Family
"3230 MOORPARK AV, SAN JOSE, CA 95117",3230 MOORPARK AV,SAN JOSE,CA,95117,SJ Water Co.,$0.00 ,,3230 MOORPARK AV SJ 95117,Site is Disqualified,,MFD
"5760 PRESTON DR, SAN JOSE, CA 95124",5760 PRESTON DR,SAN JOSE,CA,95124,SJ Water Co.,"$2,000.00 ","$2,000.00 ",5760 PRESTON DR SJ 95124,Check Issued,L,MFD
"4942 BEL CANTO DR, SAN JOSE, CA 95124",4942 BEL CANTO DR,SAN JOSE,CA,95124,SJ Water Co.,$286.50 ,$286.50 ,4942 BEL CANTO DR SJ 95124,Check Issued,IW,Single Family
"1113 STEEPLECHASE LN, CUPERTINO, CA 95014",1113 STEEPLECHASE LN,CUPERTINO,CA,95014,SJ Water Co.,$888.00 ,,1113 STEEPLECHASE LN CU 95014,Appl. Received Complete,LI,Single Family
"4028 LAURELGLEN CT, SAN JOSE, CA 95118",4028 LAURELGLEN CT,SAN JOSE,CA,95118,SJ Water Co.,"$2,000.00 ",,4028 LAURELGLEN CT SJ 95118,Appl. Received Complete,LIW,Single Family
"1658 S MARY AV, SUNNYVALE, CA 94087",1658 S MARY AV,SUNNYVALE,CA,94087,Sunnyvale,$346.77 ,$346.77 ,1658 S MARY AV SU 94087,Check Issued,IW,Single Family
"2107 MARLBORO CT, SAN JOSE, CA 95128",2107 MARLBORO CT,SAN JOSE,CA,95128,SJ Water Co.,"$1,653.00 ","$1,653.00 ",2107 MARLBORO CT SJ 95128,Check Issued,L,Commercial
"6816 CHATEAU CT, SAN JOSE, CA 95120",6816 CHATEAU CT,SAN JOSE,CA,95120,SJ Water Co.,$303.85 ,$303.85 ,6816 CHATEAU CT SJ 95120,Check Issued,IW,Single Family
"1639 HERITAGE BAY PL, SAN JOSE, CA 95138",1639 HERITAGE BAY PL,SAN JOSE,CA,95138,SJ Muni,$228.64 ,$228.64 ,1639 HERITAGE BAY PL SJ 95138,Check Issued,IW,Single Family
"6732 LEYLAND PARK DR, SAN JOSE, CA 95120",6732 LEYLAND PARK DR,SAN JOSE,CA,95120,SJ Water Co.,$304.60 ,$304.60 ,6732 LEYLAND PARK DR SJ 95120,Check Issued,IW,Single Family
"261 DELIA ST, SAN JOSE, CA 95127",261 DELIA ST,SAN JOSE,CA,95127,SJ Water Co.,$864.00 ,,261 DELIA ST SJ 95127,Appl. Received Complete,LD,Single Family
"4540 ELMHURST DR, SAN JOSE, CA 95129",4540 ELMHURST DR,SAN JOSE,CA,95129,SJ Water Co.,$350.00 ,,4540 ELMHURST DR SJ 95129,Appl. Received Complete,LIW,Single Family
"3826 CARRERA CT, SAN JOSE, CA 95135",3826 CARRERA CT,SAN JOSE,CA,95135,SJ Muni,"$1,714.00 ","$1,714.00 ",3826 CARRERA CT SJ 95135,Check Issued,L,Single Family
"1275 MILDRED AV, SAN JOSE, CA 95125",1275 MILDRED AV,SAN JOSE,CA,95125,SJ Water Co.,$539.00 ,$539.00 ,1275 MILDRED AV SJ 95125,Check Issued,L,Single Family
"3014 ROSECREEK DR, SAN JOSE, CA 95148",3014 ROSECREEK DR,SAN JOSE,CA,95148,SJ Water Co.,$350.00 ,,3014 ROSECREEK DR SJ 95148,Notice to Proceed Sent,IW,Single Family
"1839 ESPRIT CT, SAN JOSE, CA 95131",1839 ESPRIT CT,SAN JOSE,CA,95131,SJ Water Co.,$350.00 ,,1839 ESPRIT CT SJ 95131,Appl. Received Complete,LIW,Single Family
"2355 OLEA CT, GILROY, CA 95020",2355 OLEA CT,GILROY,CA,95020,Gilroy,$303.85 ,$303.85 ,2355 OLEA CT GI 95020,Check Issued,IW,Single Family
"3323 BRYANT ST, PALO ALTO, CA 94306",3323 BRYANT ST,PALO ALTO,CA,94306,Palo Alto,"$1,178.00 ",,3323 BRYANT ST PA 94306,Appl. Received Complete,LIW,Single Family
"1608 KOCH LN, SAN JOSE, CA 95125",1608 KOCH LN,SAN JOSE,CA,95125,SJ Water Co.,$179.44 ,$179.44 ,1608 KOCH LN SJ 95125,Check Issued,IW,Single Family
"683 ALAMO DR, SAN JOSE, CA 95123",683 ALAMO DR,SAN JOSE,CA,95123,SJ Water Co.,$303.85 ,$303.85 ,683 ALAMO DR SJ 95123,Check Issued,IW,Single Family
"3540 EDEN DR, SANTA CLARA, CA 95051",3540 EDEN DR,SANTA CLARA,CA,95051,Santa Clara,"$2,563.00 ",,3540 EDEN DR SC 95051,Appl. Received Complete,L,Single Family
"831 RUNNINGWOOD CL, MOUNTAIN VIEW, CA 94040",831 RUNNINGWOOD CL,MOUNTAIN VIEW,CA,94040,Mountain View,$303.85 ,$303.85 ,831 RUNNINGWOOD CL MV 94040,Check Issued,IW,Single Family
"675 DAWN WY, GILROY, CA 95020",675 DAWN WY,GILROY,CA,95020,Gilroy,$243.98 ,$243.98 ,675 DAWN WY GI 95020,Check Issued,IW,Single Family
"7451 PHINNEY WY, GILROY, CA 95139",7451 PHINNEY WY,GILROY,CA,95139,Great Oaks,$122.20 ,$122.20 ,7451 PHINNEY WY SJ 95139,Check Issued,IW,Single Family
"753 W KNICKERBOCKER DR, SUNNYVALE, CA 94087",753 W KNICKERBOCKER DR,SUNNYVALE,CA,94087,Sunnyvale,$251.97 ,$251.97 ,753 W KNICKERBOCKER DR SU 94087,Check Issued,IW,Single Family
"6277 HOPI CL, SAN JOSE, CA 95123",6277 HOPI CL,SAN JOSE,CA,95123,SJ Water Co.,$0.00 ,,6277 HOPI CL SJ 95123,Site is Disqualified,D,Single Family
"460 THOMPSON AV, MOUNTAIN VIEW, CA 94043",460 THOMPSON AV,MOUNTAIN VIEW,CA,94043,Mountain View,"$2,096.00 ",,460 THOMPSON AV MV 94043,Notice to Proceed Sent,L,Institutional
"1439 LUJOSO CT, SAN JOSE, CA 95128",1439 LUJOSO CT,SAN JOSE,CA,95128,SJ Water Co.,$245.11 ,$245.11 ,1439 LUJOSO CT SJ 95128,Check Issued,IW,Single Family
"500 S MONROE ST, SAN JOSE, CA 95128",500 S MONROE ST,SAN JOSE,CA,95128,SJ Water Co.,"$1,992.00 ",,500 S MONROE ST SJ 95128,Post Insp. Approved,L,Single Family
#VALUE!,445 Alb,LOS GATOS,CA,#VALUE!,SJ Water Co.,"$12,013.75 ",,445 Alberto Way,Post Insp. Approved,IW,MFD
"151 SEALE AV, PALO ALTO, CA 94301",151 SEALE AV,PALO ALTO,CA,94301,Palo Alto,$300.00 ,,151 SEALE AV PA 94301,Appl. Received Complete,W,Single Family
"1027 LUPINE DR, SUNNYVALE, CA 94086",1027 LUPINE DR,SUNNYVALE,CA,94086,Sunnyvale,$303.85 ,,1027 LUPINE DR SU 94086,Post Insp. Approved,IW,Single Family
"1433 NAVARRO DR, SUNNYVALE, CA 94087",1433 NAVARRO DR,SUNNYVALE,CA,94087,California Water,$0.00 ,,1433 NAVARRO DR SU 94087,Post Insp. Approved,L,Single Family
"2826 STONECREST WY, SAN JOSE, CA 95133",2826 STONECREST WY,SAN JOSE,CA,95133,SJ Water Co.,$0.00 ,,2826 STONECREST WY SJ 95133,Site is Disqualified,L,Single Family
"821 ROSS CT, PALO ALTO, CA 94303",821 ROSS CT,PALO ALTO,CA,94303,Palo Alto,$108.70 ,$108.70 ,821 ROSS CT PA 94303,Check Issued,IW,Single Family
